Reviews ID,reviews,,,,,,,,,,,,,,,,
11,"It is a place that can be visited all day long with its surroundings When you climb the castle, a magnificent view where you can see the Iztuzu, the ancient city and Dalyan rock tombs in 360 degrees awaits you",,,,,,,,,,,,,,,,
12,"We came across a period in which excavations were continuing The theater stage and the main building were closed You can enter Dalyan or Köyceğiz with an ancient city muzekkart, which those who pass by can visit and see",,,,,,,,,,,,,,,,
13,"Great place absolutely bridal atmosphere is great But everything except water is exorbitantly priced, sprite 27 TL, ice cream 40 TL, these numbers are quite fantastic, the entrance fee is 20 TL per person, free for children",,,,,,,,,,,,,,,,
14,"If you are a stone and ancient civilization lover like me, definitely go Excavations are still going on See what ancient people did You can log in with a Muzekart, which is more convenient Get a hat and sturdy shoes or slippers",,,,,,,,,,,,,,,,
15,"Inside the ruins of the 6th century BC, a church from the 6th century AD, the Amphitheater with a magnificent view You can enter with your museum card",,,,,,,,,,,,,,,,
16,"Well preserved, interesting ancient city to see A museum card is sold at the entrance, you can also enter with the barcode of the museum card application you get from your smartphone It is also possible to reach the region with the small car ferry",,,,,,,,,,,,,,,,
17,"I went 3 times and it's an amazing place definitely a place to go If you have a museum card, the entrance is free, otherwise you pay 25 TL per person",,,,,,,,,,,,,,,,
18,"A place that I can recommend to anyone who likes to visit historical places is the ancient city of Kaunos It is a place where you can cross from Dalyan by boat and reach it with a 10-minute walk Don't forget to take your water with you Before you go, do your research about kaunos and wander around the ancient city It was pleasant experience",,,,,,,,,,,,,,,,
19,"Caunos BC An ancient city belonging to a home is in disrepair Excavations are still going on It's not a place worth going especially, but they talk to tours in Dalyan and they drop off and pick you up as a last stop There is an entrance fee of 25 TL, don't forget to take your museum card with you Haaaa, 30 meters before the entrance, you can pass through the wires on the left, they left it open",,,,,,,,,,,,,,,,
20,"You have several options to come here Either by car from the west side of Köyceğiz, by ferry from the center of Dalyan, by your car again, or by walking across the boats drawn by the very sweet sisters from the center of Dalyan We went by boat (20 TL round trip per person) Then we reached the ancient city by walking in front of the king tombs, through a very cute village, and we had a great time If you like walking, I suggest you go with the last option, taking into account that you will also visit the ancient city Enjoyable walks",,,,,,,,,,,,,,,,
21,"Work continues on the ancient city Museum card is valid Landscape is very beautiful Advice go after 16:00 We used the rowing boat crossing from Dalyan The boat dropped us off at Meriç Büfe Along the way, local aunts sell pomegranate juice, orange juice, honey and knitted clothes We drank pomegranate juice from both aunts, they were both very nice It is 25-30 minutes walking distance between the bus stop and the city",,,,,,,,,,,,,,,,
22,"We had a very nice ancient city tour It would be great if there was a guide It is also possible to find interesting information on the internet about the ""green-faced urban dwellers"" Keep your eyes on the stones on the way to the temple, both out of respect and you may sprain your feet",,,,,,,,,,,,,,,,
23,ancient city entrance fee is 25 tl under 18 is free It is a beautiful place with ancient ruins spread over a large area It can be seen if you have an interest and love for history Don't go without a hat and without water It's a 15-minute walk from Dalyan by ferry for 850 TL per person,,,,,,,,,,,,,,,,
24,An unmissable ancient city You can easily cross from Dalyan by ferries with 3-4 cars departing every 15 minutes,,,,,,,,,,,,,,,,
25,"The place smells very nice of history, there is an amphitheater with a beautiful view, the entrance price is very affordable, and there is a museum card at the same time",,,,,,,,,,,,,,,,
26,"Kaunos, which was a commercially important port city in Antiquity, lost its port feature over time as the sea was filled with alluvium It is an ancient city located in the Caria region of Anatolia It is located within the borders of Çandır Neighborhood of Köyceğiz district of Muğla The Kaunos Rock Tombs are most easily seen from the Dalyan neighborhood of the Ortaca district of Muğla",,,,,,,,,,,,,,,,
27,"One of the historical places of our country that must be visited, it enchants people with its history, scenery and beauty, and it is a beautiful and clean well-kept place",,,,,,,,,,,,,,,,
28,"It is a very beautiful and historical ancient city, if only the marbles for restoration were a bit like the real thing",,,,,,,,,,,,,,,,
29,"Restoration works for a very large ancient city worth seeing are continuing, but there is no restoration that reflects much history, frankly, excavations continue here",,,,,,,,,,,,,,,,
30,"When you come to Dalyan, make a tour by boat and take a break in the ancient city of Kaunos, or after about 2 km (if I remember correctly) after crossing the pier by car ferry, you reach the ancient city You arrive at the city after a 10-15 minute walk and I would definitely recommend you to climb to the top of the theater and enjoy the view from the highest angle possible The atmosphere of those times and the beauty that cannot be enjoyed",,,,,,,,,,,,,,,,
31,The entrance fee is 20 TL Museum card is valid for the year 2022 details are at bujuyollardacom,,,,,,,,,,,,,,,,
32,Kaunos was a wonderful ancient city It is much more visited than many ancient cities in the vicinity Especially the part of Agora square was quite impressive,,,,,,,,,,,,,,,,
33,"The road passes around Köyceğiz Lake and connects to the mountain road The roads are very curved, but it is a historical structure worth seeing You can see the rock tombs, which are visible in the photos, by the riverside by ferrying to Dalyan It is also seen by Dalyan",,,,,,,,,,,,,,,,
34,"Entrance is available with a museum card Entrance is free with a teacher card Individual admission is 17 TL Directions are few There are very beautiful buildings, the view of the ancient theater is magnificent The roads on the temple side are very beautiful Excavations continue",,,,,,,,,,,,,,,,
35,"have visited many ancient cities, but unfortunately this place has been abandoned to its fate First of all, although transportation from Dalyan center seems practical, it is not so in hot weather It didn't make much sense to cross the boat at 6 pm and walk 2-3 km Even if the sun does not burn, your shirt turns into a salt lake as you sweat After a long walk, you don't have to wander around the city Make sure to bring plenty of water and liquids with you Admission is free for teachers If I had known that the walking distance after the boat was this long, maybe I wouldn't have come, it was experiential learning The remains were randomly excavated from the ground but left in a scattering At the entrance of the theater, some marbles were brought for restoration but were left idle Part of the theater has collapsed Be careful not to fall while going up and down the stairs In summary, I recommend you to visit this ancient city from the photos during the summer period Beware of small and cattle droppings as it is open to natural life Lizards are also available After returning from the ancient city, on the bank of the river, drink your tired coffee in the tea garden of Dalyan municipality ☕ (The fire that broke out in Köyceğiz in August 2021 was seen in Dalyan, unfortunately the smoke of the fire can be seen in the photos)",,,,,,,,,,,,,,,,
36,"Dalyan is a magnificent heritage with its history and scenery I ask the authorities, please arrange the walking paths and shade them with awnings to provide shade It is very difficult to walk on the rocks with slippers in this 45 degree heat WC is available There is also a small buffet at the entrance where cold drinks and tea are available",,,,,,,,,,,,,,,,
37,"Kaunos, a Lycian port city, is now far inland from the coast The ancient city can be reached by walking 1 km from Dalyan, the rock tombs at the entrance to the city are impressive, on the other hand, it is about 3 km long fortification walls, stoa, agora, fountain, bath, theater and temple ruins reveal that Kaunos was a fully organized city in the ancient period The city, which was enriched by the salt trade, had a hard time with the malaria epidemic The city, which was widely inhabited during the Hellenistic, Roman and Byzantine periods, was inhabited until the end of the 6th century AD Restoration and excavation works continue, I saw some wrong restoration examples, seriously sad, careful has to be",,,,,,,,,,,,,,,,
38,The museum can be visited with a card Dalyan is a very pleasant place,,,,,,,,,,,,,,,,
39,"Of course, the Ancient City of Kaonos is one of my favorite travel destinations As a history lover, I have a different love for Ancient Cities My only regret about the Ancient City is that it has been left alone for years as usual They were doing restoration when we went, there were excavation sites Officials who don't want to tell you where to start They give brochures or not We don't know if there is any You're on your way to wherever you set your sights on your own I'm sure there is no way to the Castle, which stands in front of me with its magnificent view In order not to endanger yourself, you interrupt the walk and go back I asked the officer, he says there is a path, but there is nothing to see anyway There is nothing for you, but there was a lot for me and one further I thought it had the necessary technology The details in the works that have survived to this day make you feel this It is in a perfect location with its nature We made our trip in the evening hours We especially preferred these hours because both not to be overwhelmed by the heat and to have better picture taking Take water with you while walking There is a cafe at the entrance of the city The fee is 175 TL per person Have a pleasant trip already",,,,,,,,,,,,,,,,
40,You can reach Dalyan by boat (20TL per person round trip) and take a long walk in front of the King Tombs,,,,,,,,,,,,,,,,
41,"An ancient port city It is a must see place for everyone who comes to the region Information in the ancient city should be more descriptive and understandable It would be more logical to visit the region in March and April, it is recommended to visit the region in the summer, in the very hot evening or early in the morning",,,,,,,,,,,,,,,,
42,"It is not a place to visit in a short time You should spare at least 3 hours so that you can only travel in general terms If you are a little more detailed, it will take 5-6 hours comfortably The entrance is separate, the amp is separate, the lower part is more separate Of course, there is no maintenance like everywhere else This is the sad reality of our country",,,,,,,,,,,,,,,,
43,Perfect place You literally feel the history It takes 20 minutes by boat You'll be there with a 15-minute walk You can only walk around in 2-3 hours Tour owners are trying to shorten the time Don't let it Make sure to go down to the beach,,,,,,,,,,,,,,,,
44,"It is a very beautiful place, everyone who is interested in history should come and see it",,,,,,,,,,,,,,,,
45,"An ancient city dating back to the 6th century BC It was established on the slope of Dalyan Stream With the formation of the Dalyan delta, it is now far from the sea coast One of the important trade ports of the period In a larger area than I anticipated There are a lot of ruins and it is well preserved A must visit place I went in the evening because it would be hot, I didn't have much time I had to travel very fast That's why I'm thinking of going again At least 2-3 hours are required The museum card is valid, if there is no museum card, there is an entrance fee of 25 TL If you are on the Dalyan side, there is a ferry, it crosses in 5 minutes, and after 3 minutes by car, you are at the entrance of the ancient city The ferry is a small ferry for 3-4 vehicles There are king tombs just below the ancient city, and then you should definitely see it The lower part of the king tombs is the new cemetery, you can go to the bottom of the king tombs by entering here",,,,,,,,,,,,,,,,
46,"It's a bit of an edge, the roads are a bit troublesome We can go back and forth a lot The forest road is very beautiful, with a good view, I think you should go in the morning Correction: You can go in a much shorter time by crossing from Dalyan",,,,,,,,,,,,,,,,
47,"The ancient city is enormous, it has a mystical state where you can feel like you are living in that era Its history dates back to 300 BC Partially restored, not bad However, it seems as if the excavation has stopped and left a bit to itself There is no parking etc in terms of location and your vehicle is under direct sun in summer It would be great if they could keep the pool full all the time I advise Not an Ephesus, Side, facilis but worth it If you want, you can pass directly to Dalyan by ferlboat",,,,,,,,,,,,,,,,
48,"It is a very beautiful small ancient city, but as the excavations continue, one should not expect too much Museum card is valid, parking is limited",,,,,,,,,,,,,,,,
49,"very beautiful ancient city with its history and location, the works are still in progress and it will be even more beautiful when it is finished You can enter the museum with your card",,,,,,,,,,,,,,,,
50,"The ancient city of Kaunos in Dalyan was founded in the 4th century BC There are many places such as King Rock tombs, ancient theater, square etc I think it is a place that should be visited by everyone who goes to Koyucegiz or Dalyan",,,,,,,,,,,,,,,,
51,"A Caria (Caria) city-The Ancient City of Kaunos, founded by the son of Miletos, Kaunos-Just as in Milet (Didim) and Tralles (Aydin), alluviums took the place of the waters and moved away from the sea-Christian Period as much as Roman Period -You can reach Dalyan by ferry or raft -Acropolis, Turkish Bath, Temples, Basilica and Churches, Theatre, Monuments, Measuring Platform and Fountain",,,,,,,,,,,,,,,,
52,"We went to visit this ancient city as a family There is a ferry crossing from Dalyan We wandered around a lot because we didn't know Ferry fee is 32₺, entrance to the ancient city is 25₺, free for under 18 years old Restoration work continues If you go, stop by, otherwise I don't think you should go there to see it, date: August 17, 2022",,,,,,,,,,,,,,,,
53,"Museum card is valid Wide in area In the summer period, you should go either early in the morning or in the evening, it is easier to travel The place is well preserved You can reach the center in 10 minutes in total by taking the ferry",,,,,,,,,,,,,,,,
54,"It is quite difficult to reach It's quite a large area There is a castle on the hill, I couldn't find where to go I suggest you go down to the port at the bottom, there are good things",,,,,,,,,,,,,,,,
55,"I recommend it to everyone, entrance adult 175, museum pass passes",,,,,,,,,,,,,,,,
56,"It is quite far from the city center and it is necessary to walk in the city The parking lot must be 300m ahead The burial part of the city remains where the people are stationed, and it is possible to photograph from afar There are eating and drinking places by the Azmak river You can enter the center of Dalyan from the ancient city on the right and pass by ferry Ferries arrive in 15 minutes There are boat tours available for Azmak, 100 ₺ per person You can go to iztuzu beach in the center of Dalyan, there is a long distance entrance 15₺ sunbeds separate fees, the beach is beautiful, go early, it's worth it when you go have a nice holiday",,,,,,,,,,,,,,,,
57,"When you go here, do not leave without visiting the culture house of Uncle Mehmet Varol",,,,,,,,,,,,,,,,
58,"The ancient theater is under restoration and its entrance is closed It can be visited in the scattered ancient city My advice to the visitors is to continue down the road and see Dalyans And from there, you can take a tour inside by boat and go to the Rock Tombs area Otherwise, it may not meet your expectations The transportation from Köycegiz is reached by a road with a slightly deteriorated coating in the forest",,,,,,,,,,,,,,,,
59,"It has two departures by sea and by land If you are on the Daylan side, the boats going to Iztuzu beach are waiting for you to bring you here as well The entrance fee is 1750 TL If you have a museum card, you can enter for free The structure of the ancient city is in good condition, but it needs better protection to survive",,,,,,,,,,,,,,,,
60,"Everywhere is paid Am I not a citizen of this state Come on, you charge tourists, why are you taking money from my own citizens Such places should be free for citizens of the Republic of Turkey Our grandfathers defended this land and won it Now what are you hiding from whom and taking it away Absolutely unfair",,,,,,,,,,,,,,,,
61,It was the most beautiful ancient city I visited after Ephesus The view was so beautiful that it was like a painting wherever I looked I suggest you go around 5-6 in an hour when the sun is not overhead,,,,,,,,,,,,,,,,
62,"So I don't know what to say I'm giving 5 stars just because I love places like this We drove an hour and a half We jumped in and didn't take cash with us We came back because the credit card was not accepted We called the Ministry of Culture They said that such a thing would not be possible and that they had to have a credit card A study will be started on this We then went to other rock tombs Cards were not accepted at the entrance there either We don't know which one is lying By the way, we were not offered this option, but when we called the ministry of culture, we were told that we could buy an online museum card and enter with a QR code",,,,,,,,,,,,,,,,
63,"The ancient city of Dalyan is a little far from 20 25 minutes walking distance We crossed by boat and walked along the rock tombs road There were also those who came by ferry or boat tours If you come by ferry or boat tour, the walking path may be shortened a little It is worth seeing the theater as a solid structure Museum and teacher cards are valid Drinks etc are sold only in one place inside Prices are a bit high for local tourists",,,,,,,,,,,,,,,,
64,"If you are going by boat to this place with small children, consider that there is a 15-20 minute walking path We came with a daily boat tour, so we had a total of 1 hour time, it was not enough to visit all parts of it prefer The view is magnificent Entrance 17,5₺",,,,,,,,,,,,,,,,
65,It is a wonderful ancient city in terms of location and scenery It operates under the Ministry of Culture You can enter for free with your museum card Single entry fee is 2500 TL The theater part of the ancient city is currently under renovation So there is no entry for that part It will be one of the most important ancient cities in a few years You can enjoy the view of both Iztuzu Beach and Dalyan,,,,,,,,,,,,,,,,
66,"If you want to visit a big city, it will not save you less than 2 hours It is a beautiful city that hosts the artistic, cultural and scientific elements of the period such as theatre, bathhouse, commercial place, place of worship and observatory Don't go when the sun is up, you'll get burned If possible, go with a guide",,,,,,,,,,,,,,,,
67,"It is a very impressive ancient city, and its view is legendary",,,,,,,,,,,,,,,,
68,"Unfortunately, it is an ancient city that can be visited in a very short time by ferry or as part of boat tours in Dalyan It should be visited due to its location and historical importance The way to go is pleasant, the museum card is valid As of the date, the entrance fee is 25 TL per person",,,,,,,,,,,,,,,,
69,"Although the excavations continue, there is still much to see (for the curious) You can reach Dalyan by ferry It runs every 15 minutes between 08:00 and 20:00 Be sure to see the theater, the presentation area and the agora The museum card is valid at the entrance",,,,,,,,,,,,,,,,
70,"In the ancient city, you can visit the theater with a capacity of 5,000 people, a basilica, a hammam, an agora, the Temple of Demeter and the areas with mosaics of 1,300 years old Curiosity arouses excitement The texture of 3 thousand years of history is very beautiful It is very exciting to feel the civilization of 3 thousand years ago",,,,,,,,,,,,,,,,
71,"It takes 20 minutes to cross by boat I reached it on foot Entry is 25 TL Do not go in the heat of July at noon like me, you will get burned If you are going to go, take plenty of water and something like a microfiber towel or handkerchief to wipe your sweat Don't walk with slippers, there are lots of thorns There is a toilet at its door, which is not very comfortable, where cows sleep It is a 3000-year-old ancient city spread over a very large area and containing a lake (Sülülük Göl) Unfortunately, I couldn't see it all I would like to go again in a suitable season Do not be afraid of the donkeys, by the way, they are very cute Do not forget to greet the archaeologists at the excavation site They're pulling history out of the ground",,,,,,,,,,,,,,,,
72,"It was a perfect day for us We crossed the road with our car by ferry from dalyan, parked at the place we passed and went to the ancient city on foot The entrance fee is 25 TL per person We toured the city for 2 hours a different feeling it is advice",,,,,,,,,,,,,,,,
73,"You should definitely go to the ancient city of Kaunos But you should spend at least 1-15 hours because you discover that there are quite large and more and more different areas There is also a small cafe at the entrance of the city where you can drink soda tea In addition, you may encounter snakes on the way I definitely recommend that you pay attention",,,,,,,,,,,,,,,,
74,"An ancient city spread over a very large area The location and preservation of the ancient theater is excellent The historical artifacts spread over the wetland below create a beautiful view Villagers' goats, sheep and animals in nature such as squirrels, turtles and frogs leave people with different emotions Promotional signs are sufficient, but the sign showing the sketch of the area should be renewed Also, the direction signs after Çandır are very inadequate",,,,,,,,,,,,,,,,
75,"Although it is a somewhat interesting mode of transportation, it should be seen But don't go in summer, it's not enjoyable You can go to Dalyan by ferry instead of going through the winding roads You can also come here from Dalyan and it takes a very short time ferry price 32 TL for car",,,,,,,,,,,,,,,,
76,"It's an area to visit Market and toilet are available It is closed due to the pandemic, but there is a small area with chairs where you can sit and have a drink The theater, olive trees and the scenery are uniquely beautiful",,,,,,,,,,,,,,,,
77,"Since the region is completely wetland, even the nature is very beautiful In the spring, you will visit the ancient city with birds, turtles, reptiles, and villager sheep, goats and donkeys The front of the settlement, which was a port city in ancient times, and its surroundings are mostly swamps It has both water and land access by boats Museum pass You can go up the hill and the acropolis from the path that follows the theater It is a bit of a steep and tiring path, but the view is magnificent",,,,,,,,,,,,,,,,
78,"It is a peaceful ancient city surrounded by nature with its theatre, Roman bath at the entrance, but mostly the temple and harbor ruins as you descend towards the port It is pleasing to see that the excavations are progressing when I go every 6 years, but it is sad that it still does not attract the attention of local tourists",,,,,,,,,,,,,,,,
79,It was very beautiful I definitely recommend everyone to visit,,,,,,,,,,,,,,,,
80,"It is a beautiful and fascinating ancient and archeological site that smells of history We see ruins everywhere, but it is possible to access the history of these remains Just don't go there in the heat I recommend going when the weather is cooler",,,,,,,,,,,,,,,,
81,"It is a place to go and see, but restoration work has been done and these works have damaged that natural structure a little (Can be entered with a museum card) museum card 60 TL",,,,,,,,,,,,,,,,
82,"It is among the places to be seen while in Dalyan We chose to go by car Crossing by ferry (32 TL) For those who will return to Muğla, I prefer to go back to Dalyan center The other road is asphalt but winding",,,,,,,,,,,,,,,,
83,"There is a beautiful view It was very enjoyable to drink tea, especially with the royal tombs, but the tea garden where we always sit has been completely destroyed and a new place is being built in its place We also saw small cavities a little further ahead",,,,,,,,,,,,,,,,
84,"The ancient city is not fully excavated, there is no exit to the castle, we could not visit the ancient theater, there is a film being taken, no information is given at the door, take water with you, excavations and restorations continue",,,,,,,,,,,,,,,,
85,"I can say that Dalyan is the only place of boutique and comfort for me, I recommend you the restaurants, the wonderful rock tombs, the unique type of boat",,,,,,,,,,,,,,,,
86,"Especially the theater of the ancient city looked magnificent and big, we couldn't see it due to the excavations, I hope the theater will be opened soon after the work is completed",,,,,,,,,,,,,,,,
87,"A 3000-year-old city, its walls/parts remaining until this time are on display However, there are no museums, visuals, etc about urban life Most places are already closed If you didn't go with a guided tour, it doesn't make much sense The entrance is 25 TL, free with the museum card",,,,,,,,,,,,,,,,
88,"We crossed the road from Dalyan center with a ferryboat of 4 cars for 20₺ There is an entrance fee of 14₺, but it is free for those who have a museum card Big and beautiful ancient city There are hardly any signposts in the ancient city My advice for those who will go is to set aside at least 2 hours You can easily see the Iztuzu beach from the top",,,,,,,,,,,,,,,,
89,"We came to the ancient city of Kaunos by boat taxis from Dalyan 2 people round trip is 15₺ Not the way the navigation brings when coming from Marmaris, because it takes too long and we found it wiser to go from Dalyan as we will continue towards Fethiye Being able to reach the center of Dalyan by boat in 5 minutes was the best part of the day After the boat, you can reach the city of Kaunos after a 15-minute walk at a fast pace (after entering the village cemetery and seeing it from the best angle) Entry is 14₺ if you don't have a museum card It's a very large area I wish it was supported more so that the excavations could continue quickly We did not take it with us, saying that drones are prohibited, but we saw someone flying a drone inside The walking distance is actually not very long, but it can be tiring due to the sun Therefore, I recommend you to wear a hat, bandana and take water with you",,,,,,,,,,,,,,,,
90,"Closing time seems to be 1930, but we were not allowed in even though we arrived at 1800 Information was careless and the treatment shown was not very warm",,,,,,,,,,,,,,,,
91,"It took a long time to reach the city The ancient city area goes down to the lake However, there is no other structure to see other than the Roman bath, basilica and theatre In addition, the restoration made to the fountain on the shoreline was a mess On the other hand, the rock tombs of Kaunos are 1-2 km ahead and you have to go by car But it was closed when we went You look so far away In addition, we will have to use the ferry to the Dalyan side Get on the ferry, don't go back that way In general, it was not worth it, but seeing most of the oren places, it would not be possible to come here",,,,,,,,,,,,,,,,
92,"It is one of the ancient cities that you can go and see, but please read the history before you enter, or you will be content with just watching the stones",,,,,,,,,,,,,,,,
93,"The museum card is valid, if not, the entrance is 14 TL per person Students and children are free If you take a ferry from the Orange Hotel by car, it would make more sense The toll is only 20 TL, regardless of the number of people Cash is paid Transit time is 15 min Until In the meantime, you will cool off a little There is an area reserved for parking within walking distance to the top The area to visit is very large Don't try to go out with slippers Make sure you have water, towel and hat with you It's a wonderful place You can't get enough of watching the scenery, artifacts, etc The history and necessary information are already written on the boards, there is no need to write at length I definitely recommend you to go and see it",,,,,,,,,,,,,,,,
94,"There are 2 ways to go to the ancient city of Kaunos1 The road and the shortest one are from Dalyan by boat and you can reach the city by walking for 2 km from there But it is very nice to pass through the village and mingle with local products while walking You can also watch the King Tombs on the hill closely At the end, you can reach by car from Çandarlı village, but this road is long The ancient city is partially moderately good Its theater is still standing upright Those who are in good condition can go up to the castle on the hill and enjoy the view of the whole delta",,,,,,,,,,,,,,,,
95,"Kaunos was the ancient city of three thousand years old You go through the paid entrance Museum card is valid Agora, temple on the left, theater ahead and basilica at the top There is a bath downstairs At the bottom, there is a circular structure and a fountain This area is by the river I thought it would be better to visit in winter",,,,,,,,,,,,,,,,
96,"The most favorite of the ancient cities I have visited so far is the exquisite location and the place where you can get the port city air The people of Kaunos chose the tenth place Aunts from Dalyan take you across the river with small boats Admission is 5 TL You pass through the village of Candir with a walking distance of about 20 minutes from there and you reach the ancient city If you wish, you can ride the tractor for 10 TL, but wearing it on foot from the village is like screaming, goat sheep chicken donkey squirrel cat dog cow duck Especially when the goats greet you of off there is a way to the king's tomb on the way, but we couldn't enter with the door closed enough to get seen from the road There are aunts on the road from time to time, they sell pomegranate orange juice etc Honey jamwe bought a jam and we liked it Prices are normal When you come to the ancient city, watch the goats in the theater and listen, they are everywhere The architecture of the bath seemed different to us, really nice As in every ancient city, the work still continues, even the one that does not exist It would be better if you set aside time in the evening, it's hot But don't be a match, go even take your coffee in a thermos and go",,,,,,,,,,,,,,,,
97,"In the center of Dalyan, where there is a tea garden and a park, there are boats that cross over, it takes 5TL for a round trip It can be reached by walking for 20 minutes when you get off across the street The ancient city is a huge place, I especially recommend going down There are columnar structures below and there are puddles, you can catch beautiful views",,,,,,,,,,,,,,,,
98,"Although it was an extraordinary place that was not taken care of enough, there was a lot of garbage around The saddest part is that it has been plundered a lot in the past Unfortunately not suitable for wheelchair users",,,,,,,,,,,,,,,,
99,"If you come from Ortaca, you can go to Dalyan by boat or boat Sandal prices are 7,5tl round trip and women use these sandals (Maasallah) You are walking Muzekarr is valid here too When you come here, take water with you because you will be silent on the way Aunts from the village are selling honey and pomegranate products on the road There is an amphitheater here, but I think it is closed They didn't say it was closed, but they put a barrier on the views Museum officials are concerned",,,,,,,,,,,,,,,,
100,"It's a super experience I definitely recommend it, don't pass without seeing it if your way ends up this way I think you should spare at least three days for sightseeing when you come to Dalyan There are very special places to visit and you will never forget",,,,,,,,,,,,,,,,
101,"The men lived in the best places in their time, but they lived very cowardly It would be great if such places were confiscated before they were looted Excavation and restoration do not end before 30 years What kind of logic is that the cafes in these ruins are very expensive and they are not on sale Take out the museum 🏛 card, it would be much better otherwise very expensive entrances",,,,,,,,,,,,,,,,
102,"Kaunos Ancient City, located in Dalyan District of Ortaca district of Muğla, was founded by the legendary king Kaunos Kaunos, which was founded as a Carian city but was exposed to many influences over time, has a 3,000-year history with its rock tombs, bath, agora, ancient theater with a capacity of 5 thousand people and a sacred temple Kaunos Ancient City in the borders of Çandır Village of Dalyan The ruins you will see in the ancient city, which is on the World Heritage Tentative List, belong to the Roman Period There are many ruins scattered around When you climb to the castle of the ancient city, you encounter the magnificent view of the entire delta and Dalyan",,,,,,,,,,,,,,,,
103,"It may not be the most prominent of the ancient cities spread over a very wide area But he was one of the leading ones for us In terms of location, I think those who lived in their time lived well Here, it can be polished and presented in detail with guides Although the authorities or museum officials know better It's like standing in a corner on the shore I hope it has many visitors It wasn't there when we went It was time to go, 4 people came, they were foreigners too We couldn't travel everywhere We are determined to see all the places next time",,,,,,,,,,,,,,,,
104,"You should not expect much for the ancient city ruins in terms of numbers, but you should prefer them in terms of natural beauty and scenery After crossing from Dalyan with a boat, you first see the rock tombs and then you reach the ancient city by walking for 10-15 minutes Climb the hill in the ancient city and watch dalyan and iztuzu beach from a bird's eye view",,,,,,,,,,,,,,,,
